type,comment_id,parent_comment_id,author,comment,published_at,like_count
top-level,UgyhP0RdBFUequUNwyx4AaABAg,,@JaykantKumar-o7j4q,Mast song ❤ 2025 /6\26😢,2025-06-26T12:28:53Z,1
top-level,UgyrMhpXMI0UubQsRN14AaABAg,,@soumochandra8146,Mein khud sunta huun ..🙂,2025-06-26T12:07:33Z,0
top-level,UgyQzw-_4a255q2qHCp4AaABAg,,@medical.knowledge2.1,Kon kon yaha rells dekh kar aaya h,2025-06-26T09:35:48Z,0
top-level,UgyiWLpgj057EHFZGo14AaABAg,,@DHRUVI952,This song actually reflects the emotion of a loyal girl towards her relationship ❤🥹🥹🥹🥹,2025-06-26T08:02:42Z,2
top-level,Ugx27hn1NqvKDbhTgbR4AaABAg,,@kaifmahmood,"Copied from Mozart's Molto Allegro, but still beautifully orchestrated and sung.",2025-06-26T06:36:57Z,1
top-level,UgxYxupgxkrcIGZAui94AaABAg,,@joannegomes3033,2:33 ❤❤,2025-06-26T06:06:28Z,1
top-level,UgxbfY1As0QkYOi30dV4AaABAg,,@RukhsarSheikh-m6g,Pahle main sochta tha ki old song kon hi sunega ab samajh aa ra hai kon sunega😢😢,2025-06-26T06:04:09Z,3
top-level,UgyUy4K7W2Q7-ClrnoN4AaABAg,,@koter9477,Anyone in July 2050❤,2025-06-26T05:46:46Z,1
top-level,UgwRm7XzX-tzBgYwwOx4AaABAg,,@RukhsarSheikh-m6g,Its my favourite song me listening this everytime ❤❤,2025-06-26T04:35:53Z,1
top-level,Ugw75cvK2R5tv4AJqUJ4AaABAg,,@Fabiha998,BBB  V  CC,2025-06-25T23:18:19Z,1
top-level,Ugw2pTazxOmx-V1rMjF4AaABAg,,@dhamakashort,It's now in trdinding... Just obsessed with this song❤,2025-06-25T20:50:31Z,1
top-level,UgzJ2CreDlQXYCZ6HWd4AaABAg,,@Ishtiyaq-fq1uy,3:348,2025-06-25T17:04:27Z,2
top-level,UgykfnkmimfH9EM6evZ4AaABAg,,@Ishtiyaq-fq1uy,2:54,2025-06-25T17:03:44Z,1
top-level,Ugz9AHkzwGbWFY19V3h4AaABAg,,@Ishtiyaq-fq1uy,Gen Z Generation,2025-06-25T17:03:34Z,2
top-level,Ugz0xFo8lozxi7fKpBJ4AaABAg,,@viralvideos0927,To....princess...Love you betuuuuuuuuuu ❤️❤️❤️,2025-06-25T17:03:04Z,2
top-level,Ugx5BAroagPGQjtKjSR4AaABAg,,@BhumikaPandey-g1r,This line  is for you my love.... Plz come back ❤😭,2025-06-25T15:41:16Z,3
reply,Ugx5BAroagPGQjtKjSR4AaABAg.AJn_7MuB-tmAJndHfGAq4y,Ugx5BAroagPGQjtKjSR4AaABAg,@KARAN100K,I am back 😼,2025-06-25T16:17:38Z,0
reply,Ugx5BAroagPGQjtKjSR4AaABAg.AJn_7MuB-tmAJpgp7GQF7z,Ugx5BAroagPGQjtKjSR4AaABAg,@Raycom0655,Padhai karo,2025-06-26T11:27:02Z,0
top-level,UgxQtrPWNM41jJFYCFB4AaABAg,,@BhumikaPandey-g1r,Anyone? july 2025❤,2025-06-25T15:40:31Z,2
reply,UgxQtrPWNM41jJFYCFB4AaABAg.AJn_1lrgywPAJoG9RgGxoq,UgxQtrPWNM41jJFYCFB4AaABAg,@Mehak-v8v,Are bhai july ane tho de,2025-06-25T22:06:02Z,0
top-level,UgxAq2j59hgfuijAM3R4AaABAg,,@IntruderAbhi,Any Genz here,2025-06-25T14:43:51Z,8
reply,UgxAq2j59hgfuijAM3R4AaABAg.AJnTYn6ulMpAJnU4ye_58A,UgxAq2j59hgfuijAM3R4AaABAg,@ok-wo9vs,Yes bro,2025-06-25T14:48:31Z,0
top-level,UgzGvFDTYJoWqTFyMXx4AaABAg,,@SarahMuskan-g6p,. o😊😊😊😊😊,2025-06-25T14:38:13Z,0
top-level,UgzmQ2CbdOWtphdGjw14AaABAg,,@AntraMeena-x8g,Just wow ❤️👀,2025-06-25T13:16:50Z,0
top-level,UgwW5o7VFrYCzPgApth4AaABAg,,@DhirajCreations143,Abhi tk mai kha th 😐😢 masterpiece ❤,2025-06-25T11:47:26Z,0
top-level,Ugz1LHdj63lEqazTEd54AaABAg,,@saurav1309,😍😍,2025-06-25T11:37:27Z,0
top-level,Ugwql3h58N7uO2l8dv54AaABAg,,@vikassingh7703,1:50,2025-06-25T11:06:46Z,0
top-level,UgzK0Q6T6VmTvhHfz4J4AaABAg,,@MubeenInayatJagirani,Obsession ❤,2025-06-25T09:28:00Z,0
top-level,UgwUQzKT2MsIrE1smHp4AaABAg,,@AashuJoshi2003,Anyone 2025??,2025-06-25T08:52:27Z,0
top-level,Ugy63ZYhW-yRE1sD35l4AaABAg,,@-Zeff__07,Awww wow🌙💐,2025-06-25T08:37:11Z,0
top-level,UgwfoYkHGYGXGgYpbCF4AaABAg,,@itsranjanvlogs3887,70s ka song k bat hi alag hai ❤❤,2025-06-25T08:34:30Z,0
top-level,UgzjgN8-9RovaRm_oSR4AaABAg,,@AnnuParmar-l5j,I feel this song,2025-06-25T07:57:12Z,0
top-level,UgzL7E4XYginf5srGvl4AaABAg,,@selfgrrow,1:29 ❤❤,2025-06-25T05:36:21Z,1
top-level,UgzDlX1e7Dmdrziwq8F4AaABAg,,@TheKarmVerse,Anyone in June 2025 ?,2025-06-24T19:36:14Z,2
top-level,UgyDSriTlnFhzHaBawx4AaABAg,,@baljeetmeena2244,Mere ek dost ne ek uncle ka radio en  gano k liye  chura liya tha bachpan m ab samajh aa rha ha ki kyu churaya❤❤,2025-06-24T18:23:32Z,0
top-level,UgwL9A3fjaoI8ecsMht4AaABAg,,@gargivarshney1819,1:37,2025-06-24T18:08:57Z,0
top-level,UgzIC32HHlIUrf2RaK94AaABAg,,@nileshgaikwad342,Forced to be in gen-z still loving old songs 😭🫶✨🙂,2025-06-24T13:26:24Z,3
top-level,UgyHSWbXo3DjtuQ69Ot4AaABAg,,@AadiBabu-tq3pu,Aadi ❤ Diaa,2025-06-24T12:02:10Z,1
top-level,UgxBoNVGdEAP98MHZ954AaABAg,,@Vishalchauhan17Nov,Aakhir ye jamana ye generation ko smjh arha hai ki ... Real song kya hota hai... (Mera sath kaha tk dogi tum ki mai desh videsh ka banjara)❤❤😊,2025-06-24T09:06:44Z,0
top-level,UgyQvNcW3ai_6aPxa4d4AaABAg,,@MissionTarun,"Lekin ek minute, main kyon sun raha hoon.... 

Main to Single hoon aur kisi se one-sided pyaar bhi nahin hai 😂😂",2025-06-24T08:55:28Z,0
reply,UgyQvNcW3ai_6aPxa4d4AaABAg.AJkGtHdFS5JAJkNVHBhwco,UgyQvNcW3ai_6aPxa4d4AaABAg,@arkxzone2031,Reel Dehki hai sir Ap ny,2025-06-24T09:53:13Z,0
top-level,UgypSQMYukgEgG13yZF4AaABAg,,@ShabeenaAnsari-b9y,Kon kon Insta se sun kar aaya hai ?,2025-06-24T08:31:08Z,1
top-level,Ugwv7OYNquVhN1GcegR4AaABAg,,@Nopeeee78,"DO we find another copied song?
Itna Na Mujhse Tu Pyar Badha
December 1, 1961
“يا أنا يا أنا وأنا وياك” (Ya Ana Ya Ana Wa Yak), performed by Fairuz
that song is too old that you cant find an original date of release but different platform reprensent different date but that song was relase in 1952 right after her best song ITAB",2025-06-24T07:18:55Z,2
top-level,UgyryLUvmzy3c0uLsRx4AaABAg,,@taragaming3071,Fav song,2025-06-24T05:57:47Z,0
top-level,UgzMWBuj9RX3DAN66ip4AaABAg,,@thelazyhead,Reel se aane wale ❤❤,2025-06-24T04:04:17Z,2
top-level,UgxMalsVNKywkF3vAtp4AaABAg,,@Aaruu20,GenZ ❤,2025-06-23T22:07:25Z,1
top-level,Ugz-dmFcG3Hr_GYT5B54AaABAg,,@paragsarma3924,Incredible deep lyrics,2025-06-23T17:54:35Z,0
top-level,UgzZExWgsknrYqaN-kx4AaABAg,,@adarshkumar9956,Insta se sun kar download kar rahe hai 😂,2025-06-23T17:51:27Z,0
top-level,UgymOgYJvQG7XHK1iQB4AaABAg,,@PUNJABIGUJJAR-y9x,24-6 IT'S MY BIRTHDAY🎂😢😢😢,2025-06-23T17:46:48Z,1
reply,UgymOgYJvQG7XHK1iQB4AaABAg.AJidtvvfEaeAJjliI0-gRh,UgymOgYJvQG7XHK1iQB4AaABAg,@vnashtekwani,Happy Birthday bro,2025-06-24T04:14:21Z,1
reply,UgymOgYJvQG7XHK1iQB4AaABAg.AJidtvvfEaeAJjmLUlynoR,UgymOgYJvQG7XHK1iQB4AaABAg,@PUNJABIGUJJAR-y9x,​@vnashtekwanithanks❤ bro,2025-06-24T04:19:50Z,0
top-level,Ugy8f9Ww4r4QqgGMF8J4AaABAg,,@Krishna_soniii1211,@mozartsymphony40 This tune is doing a great job brother,2025-06-23T17:33:59Z,0
top-level,Ugyo_GNybMAhZRC_C6F4AaABAg,,@RajAyan-kl5dm,2025😊,2025-06-23T15:49:54Z,0
top-level,UgzN3xERUstDhs_7Pv14AaABAg,,@GeetaGupta-h8t,"Samapti mam recommend this song...and really What a great song
Masterpiece ❤",2025-06-23T14:59:58Z,6
top-level,UgxMFvoesi-cIfdVYjN4AaABAg,,@MaddyHussain-p6t,Lyricssss😍💯,2025-06-23T12:26:54Z,2
top-level,UgzH-MrZGG1SlUrypOt4AaABAg,,@GOLPO_PAKHI,❤,2025-06-23T11:01:59Z,0
top-level,UgzhF6frqK2YH5NOBgJ4AaABAg,,@AkashKumar-ob8mz,3:22   June 23.2025,2025-06-23T09:52:31Z,3
top-level,UgwcB5XnLrFOWyNo1Ex4AaABAg,,@AkashKumar-ob8mz,I am 14 years I love this song ❤❤❤,2025-06-23T09:51:02Z,2
top-level,Ugy8Tzo5oJ-Fp4Ao_vJ4AaABAg,,@AmitTiwari-dh3tg,Mera sath kha tak dogi tum?,2025-06-23T07:48:10Z,0
top-level,UgwUr4kH8QqqG9Cy5bl4AaABAg,,@hamzazahid8490,2025 which one listen this song,2025-06-23T05:46:37Z,0
top-level,UgyosfBd72yeeWkHu2F4AaABAg,,@introvert_kamran,Papa mmy se dur hai...hostel bros can understand 😢,2025-06-23T05:01:44Z,0
top-level,Ugx8QUVNARF8-vd_0014AaABAg,,@SunitaKumari-o1w4p,🍁Miss you in White 18 🍁,2025-06-23T04:47:24Z,1
top-level,UgwEfERZxawvntbW7O14AaABAg,,@foodiecaloriess,I dedicate this song shri krishna who is playing female role in this song,2025-06-23T04:28:52Z,0
top-level,UgwbXSoj5tH_E0FGs7p4AaABAg,,@RushikeshUnhalepatil,Kal paper hai aur mainn ye gana suna rha hu❤,2025-06-22T19:03:11Z,3
reply,UgwbXSoj5tH_E0FGs7p4AaABAg.AJgCqWxJncEAJh_XcJKI3q,UgwbXSoj5tH_E0FGs7p4AaABAg,@AmitTiwari-dh3tg,Same dude,2025-06-23T07:49:25Z,0
reply,UgwbXSoj5tH_E0FGs7p4AaABAg.AJgCqWxJncEAJhnVqCAYrS,UgwbXSoj5tH_E0FGs7p4AaABAg,@AkashKumar-ob8mz,June main,2025-06-23T09:51:30Z,0
top-level,UgzApsIJAZFzx3tVJgd4AaABAg,,@SabaRajpoot-o5g,Most fvrt ❤,2025-06-22T17:21:03Z,0
top-level,Ugwbj17UoxcErZtvk414AaABAg,,@JanviNaina12,Ooh nil gagan ke diwane tu pyr na mera pehchane !!!🫶,2025-06-22T17:04:30Z,1
top-level,UgxsdMDNQ-qwYQb4xPZ4AaABAg,,@Shivani_shivhare,Bht accha song hai ❣️🥰,2025-06-22T15:22:42Z,0
top-level,Ugz6jY39YSl8Gk9IlSx4AaABAg,,@AQUIBRZFF,This song touching my soel🕊️😶‍🌫️🫀,2025-06-22T15:17:07Z,0
top-level,UgxdtPipoOaqIz69Hb14AaABAg,,@SheikhShahzad-s3f,Novels reader's feel this song 😂❤,2025-06-22T10:35:38Z,0
